time,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding amount of Commerical Paper Funding Facility II LLC asset purchases: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Commerical Paper Funding Facility II LLC Treasury contributions and other assets: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding amount of Corporate Credit Facilities LLC asset purchases: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Corporate Credit Facilities LLC Treasury contributions and other assets: Wednesday level,Assets: Liquidity and Credit Facilities: Net portfolio holdings of Municipal Liquidity Facility LLC (Effective 2020-05-26): Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding amount of Municipal Liquidity Facility LLC asset purchases: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Municipal Liquidity Facility LLC Treasury contributions and other assets: Wednesday level,Assets: Liquidity and Credit Facilities: Net portfolio holdings of MS Facilities LLC (Main Street Lending Program) (Effective 2020-06-01): Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding amount of MS Facilities LLC (Main Street Lending Program) asset purchases: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: MS Facilities LLC (Main Street Lending Program)  Treasury contributions and other assets: Wednesday level,Assets: Liquidity and Credit Facilities: Net portfolio holdings of TALF II LLC (Effective 2020-06-16): Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding amount of TALF II LLC asset purchases: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: TALF II LLC Treasury contributions and other assets: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding principal amount of loan extended to the Commercial Paper Funding Facility II LLC: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding principal amount of loan extended to the Corporate Credit Facilities LLC: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding principal amount of loan extended to the Municipal Liquidity Facility LLC: Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding principal amount of loan extended to the MS Facilities LLC (Main Street Lending Program): Wednesday level,Supplementary Information: Supplemental Information on 2020 Credit Facilities: Outstanding principal amount of loan extended to the TALF II LLC: Wednesday level
2002-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
