time,Supplementary Information: Supplementary Information on Mortgage-Backed Securities: Commitments to buy mortgage-backed securities: Wednesday level,Supplementary Information: Supplementary Information on Mortgage-Backed Securities: Commitments to sell mortgage-backed securities: Wednesday level,Supplementary Information: Supplementary Information on Mortgage-Backed Securities: Cash and cash equivalents: Wednesday level,Assets: Securities Held Outright: Mortgage-backed securities: Wednesday level,Assets : Securities Held Outright: Residential mortgage-backed securities: Wednesday level,Assets : Securities Held Outright: Commercial mortgage-backed securities: Wednesday level
2002-12-18,0,0,0,0,0,0
2002-12-25,0,0,0,0,0,0
2003-01-01,0,0,0,0,0,0
2003-01-08,0,0,0,0,0,0
2003-01-15,0,0,0,0,0,0
2003-01-22,0,0,0,0,0,0
2003-01-29,0,0,0,0,0,0
2003-02-05,0,0,0,0,0,0
2003-02-12,0,0,0,0,0,0
2003-02-19,0,0,0,0,0,0
2003-02-26,0,0,0,0,0,0
2003-03-05,0,0,0,0,0,0
2003-03-12,0,0,0,0,0,0
2003-03-19,0,0,0,0,0,0
2003-03-26,0,0,0,0,0,0
2003-04-02,0,0,0,0,0,0
2003-04-09,0,0,0,0,0,0
2003-04-16,0,0,0,0,0,0
2003-04-23,0,0,0,0,0,0
2003-04-30,0,0,0,0,0,0
2003-05-07,0,0,0,0,0,0
2003-05-14,0,0,0,0,0,0
2003-05-21,0,0,0,0,0,0
2003-05-28,0,0,0,0,0,0
2003-06-04,0,0,0,0,0,0
2003-06-11,0,0,0,0,0,0
2003-06-18,0,0,0,0,0,0
2003-06-25,0,0,0,0,0,0
2003-07-02,0,0,0,0,0,0
2003-07-09,0,0,0,0,0,0
2003-07-16,0,0,0,0,0,0
2003-07-23,0,0,0,0,0,0
2003-07-30,0,0,0,0,0,0
2003-08-06,0,0,0,0,0,0
2003-08-13,0,0,0,0,0,0
2003-08-20,0,0,0,0,0,0
2003-08-27,0,0,0,0,0,0
2003-09-03,0,0,0,0,0,0
2003-09-10,0,0,0,0,0,0
2003-09-17,0,0,0,0,0,0
2003-09-24,0,0,0,0,0,0
2003-10-01,0,0,0,0,0,0
2003-10-08,0,0,0,0,0,0
2003-10-15,0,0,0,0,0,0
2003-10-22,0,0,0,0,0,0
2003-10-29,0,0,0,0,0,0
2003-11-05,0,0,0,0,0,0
2003-11-12,0,0,0,0,0,0
2003-11-19,0,0,0,0,0,0
2003-11-26,0,0,0,0,0,0
2003-12-03,0,0,0,0,0,0
2003-12-10,0,0,0,0,0,0
2003-12-17,0,0,0,0,0,0
2003-12-24,0,0,0,0,0,0
2003-12-31,0,0,0,0,0,0
2004-01-07,0,0,0,0,0,0
2004-01-14,0,0,0,0,0,0
2004-01-21,0,0,0,0,0,0
2004-01-28,0,0,0,0,0,0
2004-02-04,0,0,0,0,0,0
2004-02-11,0,0,0,0,0,0
2004-02-18,0,0,0,0,0,0
2004-02-25,0,0,0,0,0,0
2004-03-03,0,0,0,0,0,0
2004-03-10,0,0,0,0,0,0
2004-03-17,0,0,0,0,0,0
2004-03-24,0,0,0,0,0,0
2004-03-31,0,0,0,0,0,0
2004-04-07,0,0,0,0,0,0
2004-04-14,0,0,0,0,0,0
2004-04-21,0,0,0,0,0,0
