time,Overnight Reverse Repurchase Agreements: Treasury Securities Sold by the Federal Reserve in the Temporary Open Market Operations,Overnight Reverse Repurchase Agreements: Total Securities Sold by the Federal Reserve in the Temporary Open Market Operations,Overnight Reverse Repurchase Agreements Award Rate: Treasury Securities Sold by the Federal Reserve in the Temporary Open Market Operations
2003-02-07,2.5,2.5,
2003-02-10,,,
2003-02-11,,,
2003-02-12,,,
2003-02-13,,,
2003-02-14,,,
2003-02-17,,,
2003-02-18,,,
2003-02-19,,,
2003-02-20,,,
2003-02-21,,,
2003-02-24,,,
2003-02-25,,,
2003-02-26,,,
2003-02-27,,,
2003-02-28,,,
2003-03-03,,,
2003-03-04,,,
2003-03-05,,,
2003-03-06,,,
2003-03-07,,,
2003-03-10,,,
2003-03-11,,,
2003-03-12,,,
2003-03-13,,,
2003-03-14,,,
2003-03-17,,,
2003-03-18,,,
2003-03-19,1.25,1.25,
2003-03-20,,,
2003-03-21,,,
2003-03-24,,,
2003-03-25,,,
2003-03-26,,,
2003-03-27,,,
2003-03-28,,,
2003-03-31,,,
2003-04-01,,,
2003-04-02,,,
2003-04-03,,,
2003-04-04,,,
2003-04-07,,,
2003-04-08,2.25,2.25,
2003-04-09,,,
2003-04-10,,,
2003-04-11,,,
2003-04-14,,,
2003-04-15,,,
2003-04-16,,,
2003-04-17,,,
2003-04-18,,,
2003-04-21,,,
2003-04-22,,,
2003-04-23,,,
2003-04-24,,,
2003-04-25,,,
2003-04-28,,,
2003-04-29,,,
2003-04-30,,,
2003-05-01,,,
2003-05-02,,,
2003-05-05,,,
2003-05-06,,,
2003-05-07,,,
2003-05-08,,,
2003-05-09,,,
2003-05-12,,,
2003-05-13,,,
2003-05-14,,,
2003-05-15,,,
2003-05-16,,,
2003-05-19,,,
2003-05-20,,,
2003-05-21,,,
2003-05-22,,,
2003-05-23,,,
2003-05-26,,,
2003-05-27,,,
2003-05-28,,,
2003-05-29,,,
2003-05-30,,,
2003-06-02,,,
2003-06-03,,,
2003-06-04,1.25,1.25,
2003-06-05,,,
2003-06-06,,,
2003-06-09,,,
2003-06-10,,,
2003-06-11,,,
2003-06-12,,,
2003-06-13,,,
2003-06-16,,,
2003-06-17,,,
2003-06-18,2.25,2.25,
2003-06-19,1.25,1.25,
2003-06-20,3.5,3.5,
2003-06-23,,,
2003-06-24,,,
2003-06-25,,,
2003-06-26,,,
2003-06-27,,,
2003-06-30,,,
2003-07-01,,,
2003-07-02,,,
2003-07-03,,,
2003-07-04,,,
2003-07-07,,,
2003-07-08,,,
2003-07-09,,,
2003-07-10,,,
2003-07-11,,,
2003-07-14,,,
2003-07-15,,,
2003-07-16,,,
2003-07-17,,,
2003-07-18,,,
2003-07-21,,,
2003-07-22,,,
2003-07-23,,,
2003-07-24,,,
2003-07-25,,,
2003-07-28,,,
2003-07-29,,,
2003-07-30,,,
2003-07-31,,,
2003-08-01,,,
2003-08-04,,,
2003-08-05,,,
2003-08-06,,,
2003-08-07,,,
2003-08-08,,,
2003-08-11,,,
2003-08-12,,,
2003-08-13,,,
2003-08-14,,,
2003-08-15,,,
2003-08-18,,,
2003-08-19,,,
2003-08-20,,,
2003-08-21,,,
2003-08-22,,,
2003-08-25,,,
2003-08-26,,,
2003-08-27,,,
2003-08-28,,,
2003-08-29,,,
2003-09-01,,,
2003-09-02,,,
2003-09-03,,,
2003-09-04,,,
2003-09-05,,,
2003-09-08,,,
2003-09-09,,,
2003-09-10,,,
2003-09-11,,,
2003-09-12,,,
2003-09-15,,,
2003-09-16,,,
